box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode
1,121.0,,,,99.1,99.98,1,Obtuse,21:30:05.597436,,,3,1.0
1,129.0,,,,99.04,99.98,1,Obtuse,21:30:04.577168,,,3,1.0
1,133.0,,,,98.81,99.99,1,Straight,21:30:03.545357,,,3,3.0
1,125.0,,,,98.87,99.98,1,Obtuse,21:30:02.520143,,,3,1.0
1,125.0,,,,98.75,99.98,1,Obtuse,21:30:01.496769,,,3,1.0
1,128.0,,,,98.96,99.98,1,Obtuse,21:30:00.471915,,,3,1.0
1,127.0,,,,98.87,99.98,1,Obtuse,21:29:59.439560,,,3,1.0
1,126.0,Side,Right,Horizontal-Right,99.01,99.98,1,Obtuse,21:29:58.425956,2.0,2.0,1,1.0
1,127.0,,,,98.99,99.98,1,Obtuse,21:29:57.386664,,,3,1.0
1,126.0,,,,98.77,99.99,1,Obtuse,21:29:56.354272,,,3,1.0
1,128.0,Side,Right,Horizontal-Right,98.88,99.98,1,Obtuse,21:29:55.333891,2.0,2.0,1,1.0
1,127.0,,,,98.76,99.99,1,Obtuse,21:29:54.306346,,,3,1.0
1,130.0,Side,Right,Horizontal-Right,99.02,99.98,1,,21:29:53.283776,2.0,2.0,1,
1,127.0,Side,Left,Horizontal-Left,99.02,99.98,1,Obtuse,21:29:52.246667,2.0,1.0,0,1.0
1,126.0,,,,99.0,99.98,1,Obtuse,21:29:51.210561,,,3,1.0
1,133.0,,,,99.13,99.98,1,Straight,21:29:50.179898,,,3,3.0
1,118.0,,,,98.78,99.98,1,Obtuse,21:29:49.150696,,,3,1.0
1,125.0,Side,Left,Horizontal-Left,99.05,99.98,1,Obtuse,21:29:48.124537,2.0,1.0,0,1.0
1,127.0,Side,Left,Horizontal-Left,99.11,99.98,1,Obtuse,21:29:47.098662,2.0,1.0,0,1.0
1,130.0,Side,Left,Horizontal-Left,99.08,99.99,1,,21:29:46.068638,2.0,1.0,0,
1,131.0,,,,98.92,99.98,1,Straight,21:29:45.043470,,,3,3.0
1,127.0,,,,98.71,99.98,1,Obtuse,21:29:44.015258,,,3,1.0
1,130.0,,,,98.71,99.98,1,,21:29:42.985486,,,3,
1,126.0,Side,Right,Horizontal-Right,98.81,99.98,1,Obtuse,21:29:41.937947,2.0,2.0,1,1.0
1,123.0,,,,98.81,99.98,1,Obtuse,21:29:40.912726,,,3,1.0
1,124.0,Side,Left,Horizontal-Left,99.16,99.99,1,Obtuse,21:29:39.886649,2.0,1.0,0,1.0
1,130.0,,,,99.06,99.98,1,,21:29:38.864978,,,3,
1,129.0,,,,99.02,99.98,1,Obtuse,21:29:37.830696,,,3,1.0
1,127.0,,,,98.95,99.98,1,Obtuse,21:29:36.782699,,,3,1.0
1,126.0,,,,98.6,99.98,1,Obtuse,21:29:35.759834,,,3,1.0
1,119.0,,,,99.04,99.98,1,Obtuse,21:29:34.718665,,,3,1.0
1,129.0,,,,98.98,99.98,1,Obtuse,21:29:33.693031,,,3,1.0
1,133.0,Side,Right,Horizontal-Right,98.84,99.98,1,Straight,21:29:32.666694,2.0,2.0,1,3.0
1,129.0,Top,Down,Vertical-Down,98.94,99.98,1,Obtuse,21:29:31.640195,1.0,4.0,2,1.0
1,121.0,Side,Right,Horizontal-Right,98.96,99.98,1,Obtuse,21:29:30.609212,2.0,2.0,1,1.0
1,123.0,,,,98.95,99.98,1,Obtuse,21:29:29.576866,,,3,1.0
1,126.0,Side,Left,Horizontal-Left,98.87,99.98,1,Obtuse,21:29:28.534683,2.0,1.0,0,1.0
1,130.0,,,,98.84,99.98,1,,21:29:27.502701,,,3,
1,123.0,,,,98.68,99.98,1,Obtuse,21:29:26.478655,,,3,1.0
1,129.0,,,,99.07,99.98,1,Obtuse,21:29:25.445999,,,3,1.0
1,127.0,Side,Right,Horizontal-Right,98.56,99.98,1,Obtuse,21:29:24.425315,2.0,2.0,1,1.0
