box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode,angle_gt_1,box_number_gt_1,arrow_direction_gt_1,arrow_position_gt_1,orientation_type_gt_1,angle_type_gt_1
1,50.0,Side,Right,Horizontal-Right,98.65,99.41,1,,20:28:59.982601,2.0,2.0,1,,47,1,1,2,21,3
1,51.0,Side,Right,Horizontal-Right,98.69,99.21,1,Acute,20:28:58.968259,2.0,2.0,1,4.0,47,1,1,2,21,3
1,51.0,Side,Left,Horizontal-Left,98.56,99.08,1,Acute,20:28:57.926073,2.0,1.0,0,4.0,47,1,1,2,21,3
1,50.0,Side,Left,Horizontal-Left,99.11,99.48,1,,20:28:56.880217,2.0,1.0,0,,47,1,1,2,21,3
1,50.0,,,,98.79,99.46,1,,20:28:55.866577,,,4,,47,1,1,2,21,3
1,49.0,,,,98.28,99.36,1,Straight,20:28:54.816990,,,4,3.0,47,1,1,2,21,3
1,47.0,,,,98.45,98.95,1,Straight,20:28:53.778658,,,4,3.0,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,98.07,99.46,1,,20:28:52.756611,2.0,2.0,1,,47,1,1,2,21,3
1,49.0,Side,Left,Horizontal-Left,98.98,99.23,1,Straight,20:28:51.732106,2.0,1.0,0,3.0,47,1,1,2,21,3
1,49.0,,,,98.44,98.93,1,Straight,20:28:50.691884,,,4,3.0,47,1,1,2,21,3
1,44.0,Side,Right,Horizontal-Right,97.99,99.38,1,Straight,20:28:49.665584,2.0,2.0,1,3.0,47,1,1,2,21,3
1,49.0,Side,Right,Horizontal-Right,98.58,99.29,1,Straight,20:28:48.616312,2.0,2.0,1,3.0,47,1,1,2,21,3
1,50.0,,,,98.42,99.33,1,,20:28:47.582693,,,4,,47,1,1,2,21,3
1,50.0,Side,Left,Horizontal-Left,98.93,99.4,1,,20:28:46.560754,2.0,1.0,0,,47,1,1,2,21,3
